iteration;exec time (1 thread);exec time (2 threads);exec time (2 threads linear);speedup;speedup (linear);efficiency;efficiency (linear);difference (1 thread);difference(2 threads)
0;0.266265;0.125577;0.133132;2.120335;2.000000;1.060167;1.000000;80000512.000000;80000512.000000
1;0.552299;0.242122;0.276149;2.281074;2.000000;1.140537;1.000000;79599808.000000;79599808.000000
2;0.796638;0.355240;0.398319;2.242537;2.000000;1.121269;1.000000;79202272.000000;79202272.000000
3;1.041506;0.472309;0.520753;2.205135;2.000000;1.102568;1.000000;78806864.000000;78806864.000000
4;1.310126;0.591020;0.655063;2.216718;2.000000;1.108359;1.000000;78413592.000000;78413608.000000
5;1.544233;0.704794;0.772116;2.191041;2.000000;1.095520;1.000000;78022456.000000;78022464.000000
6;1.774365;0.816506;0.887182;2.173120;2.000000;1.086560;1.000000;77633408.000000;77633432.000000
7;2.017278;0.930713;1.008639;2.167454;2.000000;1.083727;1.000000;77246520.000000;77246528.000000
8;2.291374;1.042114;1.145687;2.198776;2.000000;1.099388;1.000000;76861696.000000;76861696.000000
9;2.515877;1.154453;1.257939;2.179280;2.000000;1.089640;1.000000;76480008.000000;76480000.000000
10;2.773104;1.268228;1.386552;2.186598;2.000000;1.093299;1.000000;76099416.000000;76099384.000000
11;3.057674;1.380647;1.528837;2.214668;2.000000;1.107334;1.000000;75720856.000000;75720832.000000
12;3.292510;1.495332;1.646255;2.201859;2.000000;1.100929;1.000000;75344384.000000;75345408.000000
13;3.526066;1.609872;1.763033;2.190277;2.000000;1.095138;1.000000;74971024.000000;74971024.000000
14;3.779334;1.723417;1.889667;2.192930;2.000000;1.096465;1.000000;74598704.000000;74598672.000000
15;4.011679;1.839121;2.005839;2.181302;2.000000;1.090651;1.000000;74229432.000000;74229448.000000
16;4.244273;1.958424;2.122136;2.167188;2.000000;1.083594;1.000000;73861256.000000;73861240.000000
17;4.476633;2.072327;2.238316;2.160196;2.000000;1.080098;1.000000;73496104.000000;73496112.000000
18;4.754746;2.186001;2.377373;2.175089;2.000000;1.087544;1.000000;73132016.000000;73132000.000000
19;5.008723;2.299066;2.504361;2.178591;2.000000;1.089295;1.000000;72769872.000000;72769880.000000
20;5.236926;2.416946;2.618463;2.166754;2.000000;1.083377;1.000000;72410848.000000;72410856.000000
21;5.523953;2.531403;2.761976;2.182170;2.000000;1.091085;1.000000;72052824.000000;72052824.000000
22;5.767991;2.646820;2.883996;2.179215;2.000000;1.089608;1.000000;71696832.000000;71696816.000000
23;6.035999;2.763336;3.017999;2.184316;2.000000;1.092158;1.000000;71343840.000000;71343800.000000
24;6.388920;2.878899;3.194460;2.219223;2.000000;1.109612;1.000000;70991832.000000;70991840.000000
25;6.675583;2.993663;3.337792;2.229905;2.000000;1.114953;1.000000;70641784.000000;70641808.000000
26;6.952185;3.108004;3.476092;2.236865;2.000000;1.118432;1.000000;70293816.000000;70293824.000000
27;7.275628;3.216565;3.637814;2.261925;2.000000;1.130962;1.000000;69947744.000000;69947776.000000
28;7.571571;3.330722;3.785786;2.273252;2.000000;1.136626;1.000000;69603704.000000;69603728.000000
29;7.873948;3.449657;3.936974;2.282531;2.000000;1.141265;1.000000;69261664.000000;69261680.000000
30;8.170826;3.565464;4.085413;2.291659;2.000000;1.145829;1.000000;68921536.000000;68921552.000000
31;8.446671;3.680041;4.223335;2.295266;2.000000;1.147633;1.000000;68583464.000000;68583472.000000
32;8.745606;3.792998;4.372803;2.305724;2.000000;1.152862;1.000000;68247224.000000;68247264.000000
33;9.046752;3.908928;4.523376;2.314382;2.000000;1.157191;1.000000;67912024.000000;67912056.000000
34;9.303327;4.024761;4.651664;2.311523;2.000000;1.155761;1.000000;67579752.000000;67579736.000000
35;9.560696;4.139893;4.780348;2.309407;2.000000;1.154703;1.000000;67248464.000000;67248328.000000
36;9.849526;4.254434;4.924763;2.315120;2.000000;1.157560;1.000000;66920004.000000;66919988.000000
37;10.136735;4.370174;5.068368;2.319527;2.000000;1.159763;1.000000;66592480.000000;66592440.000000
38;10.386624;4.488542;5.193312;2.314031;2.000000;1.157015;1.000000;66266984.000000;66266976.000000
39;10.651933;4.601265;5.325966;2.315001;2.000000;1.157500;1.000000;65943332.000000;65942820.000000
40;11.005203;4.714255;5.502602;2.334452;2.000000;1.167226;1.000000;65621032.000000;65621020.000000
41;11.291118;4.831219;5.645559;2.337116;2.000000;1.168558;1.000000;65300664.000000;65300668.000000
42;11.551998;4.945993;5.775999;2.335627;2.000000;1.167814;1.000000;64982812.000000;64982800.000000
43;11.848675;5.062487;5.924338;2.340485;2.000000;1.170243;1.000000;64665784.000000;64665776.000000
44;12.109188;5.174096;6.054594;2.340348;2.000000;1.170174;1.000000;64351120.000000;64351116.000000
45;12.378435;5.290000;6.189217;2.339969;2.000000;1.169984;1.000000;64037956.000000;64037944.000000
46;12.695911;5.405151;6.347955;2.348854;2.000000;1.174427;1.000000;63726540.000000;63726524.000000
47;12.948514;5.521559;6.474257;2.345083;2.000000;1.172542;1.000000;63416480.000000;63416472.000000
48;13.206624;5.636400;6.603312;2.343096;2.000000;1.171548;1.000000;63108936.000000;63108932.000000
49;13.526139;5.748726;6.763070;2.352893;2.000000;1.176447;1.000000;62802132.000000;62802152.000000
50;13.792657;5.863260;6.896328;2.352387;2.000000;1.176194;1.000000;62497788.000000;62497784.000000
51;14.066977;5.979453;7.033489;2.352552;2.000000;1.176276;1.000000;62194664.000000;62194676.000000
52;14.367003;6.095905;7.183501;2.356829;2.000000;1.178414;1.000000;61893484.000000;61893488.000000
53;14.636156;6.212390;7.318078;2.355962;2.000000;1.177981;1.000000;61593592.000000;61593572.000000
54;14.902328;6.325104;7.451164;2.356061;2.000000;1.178030;1.000000;61295588.000000;61295600.000000
55;15.190724;6.438064;7.595362;2.359517;2.000000;1.179759;1.000000;60999404.000000;60999408.000000
56;15.457815;6.551722;7.728907;2.359351;2.000000;1.179676;1.000000;60704536.000000;60704532.000000
57;15.716708;6.666738;7.858354;2.357481;2.000000;1.178740;1.000000;60411084.000000;60411084.000000
58;15.986795;6.781189;7.993397;2.357521;2.000000;1.178760;1.000000;60119844.000000;60119848.000000
59;16.269623;6.894221;8.134812;2.359893;2.000000;1.179946;1.000000;59829404.000000;59829408.000000
