iteration;exec time (1 thread);exec time (8 threads);exec time (8 threads linear);speedup;speedup (linear);efficiency;efficiency (linear);difference (1 thread);difference(8 threads)
0;0.256300;0.074086;0.032037;3.459488;8.000000;0.432436;1.000000;80000512.000000;80000512.000000
1;0.507207;0.129415;0.063401;3.919240;8.000000;0.489905;1.000000;79599808.000000;79599808.000000
2;0.774778;0.183079;0.096847;4.231938;8.000000;0.528992;1.000000;79202272.000000;79202272.000000
3;1.009608;0.240946;0.126201;4.190181;8.000000;0.523773;1.000000;78806864.000000;78806872.000000
4;1.251603;0.297621;0.156450;4.205352;8.000000;0.525669;1.000000;78413592.000000;78413608.000000
5;1.509065;0.353046;0.188633;4.274420;8.000000;0.534303;1.000000;78022456.000000;78022456.000000
6;1.751462;0.406868;0.218933;4.304742;8.000000;0.538093;1.000000;77633408.000000;77633424.000000
7;1.984599;0.464208;0.248075;4.275233;8.000000;0.534404;1.000000;77246520.000000;77246520.000000
8;2.225668;0.521297;0.278208;4.269481;8.000000;0.533685;1.000000;76861696.000000;76861696.000000
9;2.502145;0.578411;0.312768;4.325893;8.000000;0.540737;1.000000;76480008.000000;76480000.000000
10;2.732067;0.637238;0.341508;4.287356;8.000000;0.535919;1.000000;76099416.000000;76099384.000000
11;2.975004;0.693307;0.371876;4.291037;8.000000;0.536380;1.000000;75720856.000000;75720832.000000
12;3.200727;0.749164;0.400091;4.272398;8.000000;0.534050;1.000000;75344384.000000;75345408.000000
13;3.482472;0.809186;0.435309;4.303673;8.000000;0.537959;1.000000;74971024.000000;74971024.000000
14;3.734184;0.867776;0.466773;4.303164;8.000000;0.537895;1.000000;74598704.000000;74598672.000000
15;3.964310;0.922354;0.495539;4.298034;8.000000;0.537254;1.000000;74229432.000000;74229456.000000
16;4.194412;0.979737;0.524301;4.281162;8.000000;0.535145;1.000000;73861256.000000;73861248.000000
17;4.494013;1.038244;0.561752;4.328473;8.000000;0.541059;1.000000;73496104.000000;73496112.000000
18;4.724481;1.093828;0.590560;4.319218;8.000000;0.539902;1.000000;73132016.000000;73132000.000000
19;4.952805;1.150383;0.619101;4.305351;8.000000;0.538169;1.000000;72769872.000000;72769872.000000
20;5.187317;1.212962;0.648415;4.276569;8.000000;0.534571;1.000000;72410848.000000;72410856.000000
21;5.477112;1.269656;0.684639;4.313853;8.000000;0.539232;1.000000;72052824.000000;72052832.000000
22;5.710218;1.326473;0.713777;4.304812;8.000000;0.538101;1.000000;71696832.000000;71696816.000000
23;5.938976;1.383728;0.742372;4.292012;8.000000;0.536501;1.000000;71343840.000000;71343800.000000
24;6.169665;1.438344;0.771208;4.289421;8.000000;0.536178;1.000000;70991832.000000;70991832.000000
25;6.457065;1.495095;0.807133;4.318833;8.000000;0.539854;1.000000;70641784.000000;70641808.000000
26;6.677051;1.604306;0.834631;4.161955;8.000000;0.520244;1.000000;70293816.000000;70293824.000000
27;6.903182;1.662547;0.862898;4.152172;8.000000;0.519022;1.000000;69947744.000000;69947768.000000
28;7.133996;1.720724;0.891749;4.145927;8.000000;0.518241;1.000000;69603704.000000;69603728.000000
29;7.405359;1.782095;0.925670;4.155423;8.000000;0.519428;1.000000;69261664.000000;69261688.000000
30;7.648302;1.841860;0.956038;4.152489;8.000000;0.519061;1.000000;68921536.000000;68921552.000000
31;7.883761;1.898560;0.985470;4.152495;8.000000;0.519062;1.000000;68583464.000000;68583472.000000
32;8.131710;2.006107;1.016464;4.053477;8.000000;0.506685;1.000000;68247224.000000;68247272.000000
33;8.372305;2.116501;1.046538;3.955729;8.000000;0.494466;1.000000;67912024.000000;67912056.000000
34;8.604605;2.224971;1.075576;3.867289;8.000000;0.483411;1.000000;67579752.000000;67579744.000000
35;8.830634;2.281239;1.103829;3.870981;8.000000;0.483873;1.000000;67248464.000000;67248328.000000
36;9.104179;2.340193;1.138022;3.890354;8.000000;0.486294;1.000000;66920004.000000;66919984.000000
37;9.341971;2.402457;1.167746;3.888507;8.000000;0.486063;1.000000;66592480.000000;66592440.000000
38;9.568113;2.458570;1.196014;3.891739;8.000000;0.486467;1.000000;66266984.000000;66266976.000000
39;9.810556;2.517173;1.226320;3.897450;8.000000;0.487181;1.000000;65943332.000000;65942820.000000
40;10.086698;2.625487;1.260837;3.841839;8.000000;0.480230;1.000000;65621032.000000;65621024.000000
41;10.314210;2.733767;1.289276;3.772893;8.000000;0.471612;1.000000;65300664.000000;65300672.000000
42;10.555539;2.786970;1.319442;3.787461;8.000000;0.473433;1.000000;64982812.000000;64982808.000000
43;10.789176;2.840698;1.348647;3.798073;8.000000;0.474759;1.000000;64665784.000000;64665776.000000
44;11.069706;2.898035;1.383713;3.819728;8.000000;0.477466;1.000000;64351120.000000;64351128.000000
45;11.314092;2.960654;1.414262;3.821484;8.000000;0.477685;1.000000;64037956.000000;64037952.000000
46;11.561156;3.018014;1.445144;3.830716;8.000000;0.478840;1.000000;63726540.000000;63726528.000000
47;11.781261;3.126428;1.472658;3.768281;8.000000;0.471035;1.000000;63416480.000000;63416468.000000
48;12.040290;3.235139;1.505036;3.721723;8.000000;0.465215;1.000000;63108936.000000;63108940.000000
49;12.262174;3.344038;1.532772;3.666877;8.000000;0.458360;1.000000;62802132.000000;62802148.000000
50;12.488672;3.453367;1.561084;3.616375;8.000000;0.452047;1.000000;62497788.000000;62497788.000000
51;12.760923;3.563390;1.595115;3.581119;8.000000;0.447640;1.000000;62194664.000000;62194668.000000
52;12.992068;3.673625;1.624008;3.536580;8.000000;0.442072;1.000000;61893484.000000;61893488.000000
53;13.220835;3.731489;1.652604;3.543046;8.000000;0.442881;1.000000;61593592.000000;61593576.000000
54;13.474152;3.789844;1.684269;3.555332;8.000000;0.444416;1.000000;61295588.000000;61295592.000000
55;13.783830;3.850579;1.722979;3.579677;8.000000;0.447460;1.000000;60999404.000000;60999416.000000
56;14.022973;3.907044;1.752872;3.589152;8.000000;0.448644;1.000000;60704536.000000;60704532.000000
57;14.276179;3.963844;1.784522;3.601600;8.000000;0.450200;1.000000;60411084.000000;60411080.000000
58;14.504304;4.072645;1.813038;3.561396;8.000000;0.445175;1.000000;60119844.000000;60119844.000000
59;14.762287;4.181065;1.845286;3.530748;8.000000;0.441344;1.000000;59829404.000000;59829408.000000
60;15.021590;4.290680;1.877699;3.500981;8.000000;0.437623;1.000000;59541320.000000;59541316.000000
61;15.251067;4.349806;1.906383;3.506148;8.000000;0.438269;1.000000;59254552.000000;59254556.000000
62;15.511523;4.408408;1.938940;3.518622;8.000000;0.439828;1.000000;58969140.000000;58969136.000000
63;15.763286;4.471225;1.970411;3.525496;8.000000;0.440687;1.000000;58685436.000000;58685428.000000
64;15.990720;4.528314;1.998840;3.531275;8.000000;0.441409;1.000000;58402960.000000;58402948.000000
65;16.237602;4.584207;2.029700;3.542074;8.000000;0.442759;1.000000;58122328.000000;58122336.000000
66;16.506709;4.693271;2.063339;3.517101;8.000000;0.439638;1.000000;57843584.000000;57843592.000000
