iteration;exec time (1 thread);exec time (32 threads);exec time (32 threads linear);speedup;speedup (linear);efficiency;efficiency (linear);difference (1 thread);difference(32 threads)
0;0.266110;0.085045;0.008316;3.129028;32.000000;0.097782;1.000000;80000512.000000;80000512.000000
1;0.501089;0.143693;0.015659;3.487226;32.000000;0.108976;1.000000;79599808.000000;79599808.000000
2;0.775851;0.200638;0.024245;3.866921;32.000000;0.120841;1.000000;79202272.000000;79202272.000000
3;1.011180;0.260387;0.031599;3.883376;32.000000;0.121356;1.000000;78806864.000000;78806872.000000
4;1.242437;0.320468;0.038826;3.876940;32.000000;0.121154;1.000000;78413592.000000;78413608.000000
5;1.474469;0.378323;0.046077;3.897381;32.000000;0.121793;1.000000;78022456.000000;78022456.000000
6;1.770434;0.433580;0.055326;4.083297;32.000000;0.127603;1.000000;77633408.000000;77633424.000000
7;2.005065;0.491490;0.062658;4.079562;32.000000;0.127486;1.000000;77246520.000000;77246520.000000
8;2.239166;0.550019;0.069974;4.071071;32.000000;0.127221;1.000000;76861696.000000;76861696.000000
9;2.485030;0.606644;0.077657;4.096358;32.000000;0.128011;1.000000;76480008.000000;76480000.000000
10;2.785081;0.663830;0.087034;4.195473;32.000000;0.131109;1.000000;76099416.000000;76099392.000000
11;3.016575;0.721149;0.094268;4.183014;32.000000;0.130719;1.000000;75720856.000000;75720840.000000
12;3.257079;0.778871;0.101784;4.181798;32.000000;0.130681;1.000000;75344384.000000;75345408.000000
13;3.489931;0.835593;0.109060;4.176594;32.000000;0.130519;1.000000;74971024.000000;74971024.000000
14;3.805299;0.892159;0.118916;4.265271;32.000000;0.133290;1.000000;74598704.000000;74598680.000000
15;4.052761;0.948605;0.126649;4.272339;32.000000;0.133511;1.000000;74229432.000000;74229440.000000
16;4.284676;1.005831;0.133896;4.259837;32.000000;0.133120;1.000000;73861256.000000;73861248.000000
17;4.517803;1.062220;0.141181;4.253171;32.000000;0.132912;1.000000;73496104.000000;73496104.000000
18;4.801491;1.121829;0.150047;4.280055;32.000000;0.133752;1.000000;73132016.000000;73132000.000000
19;5.030509;1.175828;0.157203;4.278271;32.000000;0.133696;1.000000;72769872.000000;72769872.000000
20;5.259348;1.234545;0.164355;4.260150;32.000000;0.133130;1.000000;72410848.000000;72410856.000000
21;5.513530;1.293614;0.172298;4.262115;32.000000;0.133191;1.000000;72052824.000000;125720112.000000
22;5.781933;1.353974;0.180685;4.270343;32.000000;0.133448;1.000000;71696832.000000;71696808.000000
23;6.007353;1.415228;0.187730;4.244795;32.000000;0.132650;1.000000;71343840.000000;71343800.000000
24;6.240325;1.475215;0.195010;4.230113;32.000000;0.132191;1.000000;70991832.000000;70991840.000000
25;6.515728;1.535658;0.203616;4.242954;32.000000;0.132592;1.000000;70641784.000000;70641808.000000
26;6.751194;1.645012;0.210975;4.104039;32.000000;0.128251;1.000000;70293816.000000;70293824.000000
27;6.977389;1.704223;0.218043;4.094176;32.000000;0.127943;1.000000;69947744.000000;69947768.000000
28;7.207901;1.766059;0.225247;4.081349;32.000000;0.127542;1.000000;69603704.000000;69603720.000000
29;7.480073;1.828978;0.233752;4.089756;32.000000;0.127805;1.000000;69261664.000000;69261688.000000
30;7.729131;1.890413;0.241535;4.088593;32.000000;0.127769;1.000000;68921536.000000;68921552.000000
31;7.964471;1.951146;0.248890;4.081945;32.000000;0.127561;1.000000;68583464.000000;68583488.000000
32;8.205914;2.061620;0.256435;3.980323;32.000000;0.124385;1.000000;68247224.000000;68247264.000000
33;8.484990;2.170153;0.265156;3.909857;32.000000;0.122183;1.000000;67912024.000000;67912056.000000
34;8.721849;2.235205;0.272558;3.902036;32.000000;0.121939;1.000000;67579752.000000;67579744.000000
35;8.948978;2.295569;0.279656;3.898371;32.000000;0.121824;1.000000;67248464.000000;67248320.000000
36;9.174603;2.355274;0.286706;3.895344;32.000000;0.121730;1.000000;66920004.000000;66919984.000000
37;9.461947;2.416238;0.295686;3.915984;32.000000;0.122374;1.000000;66592480.000000;66592444.000000
38;9.697184;2.479288;0.303037;3.911278;32.000000;0.122227;1.000000;66266984.000000;115359328.000000
