iteration;exec time (1 thread);exec time (8 threads);exec time (8 threads linear);speedup;speedup (linear);efficiency;efficiency (linear);difference (1 thread);difference(8 threads)
0;0.056197;0.011194;0.007025;5.020302;8.000000;0.627538;1.000000;80000512.000000;80000512.000000
1;0.107307;0.024462;0.013413;4.386655;8.000000;0.548332;1.000000;79599808.000000;79599808.000000
2;0.158230;0.037949;0.019779;4.169602;8.000000;0.521200;1.000000;79202288.000000;79202280.000000
3;0.212409;0.048225;0.026551;4.404556;8.000000;0.550570;1.000000;78806864.000000;78806872.000000
4;0.264399;0.058664;0.033050;4.506994;8.000000;0.563374;1.000000;78413592.000000;78413608.000000
5;0.317256;0.070379;0.039657;4.507803;8.000000;0.563475;1.000000;78022456.000000;78022448.000000
6;0.370404;0.082534;0.046301;4.487884;8.000000;0.560985;1.000000;77633408.000000;77633424.000000
7;0.424947;0.094865;0.053118;4.479506;8.000000;0.559938;1.000000;77246520.000000;77246520.000000
8;0.478307;0.107151;0.059788;4.463875;8.000000;0.557984;1.000000;76861696.000000;76861696.000000
9;0.532208;0.118976;0.066526;4.473247;8.000000;0.559156;1.000000;76480008.000000;76480016.000000
10;0.585227;0.131108;0.073153;4.463685;8.000000;0.557961;1.000000;76099416.000000;76099392.000000
11;0.638783;0.143572;0.079848;4.449225;8.000000;0.556153;1.000000;75720856.000000;75720840.000000
12;0.691631;0.156089;0.086454;4.430995;8.000000;0.553874;1.000000;75344384.000000;75344384.000000
13;0.744442;0.170670;0.093055;4.361876;8.000000;0.545235;1.000000;74971024.000000;74971024.000000
14;0.798044;0.181528;0.099755;4.396245;8.000000;0.549531;1.000000;74598704.000000;74598696.000000
15;0.853151;0.193183;0.106644;4.416273;8.000000;0.552034;1.000000;74229432.000000;74229448.000000
16;0.904919;0.204500;0.113115;4.425027;8.000000;0.553128;1.000000;73861256.000000;73861240.000000
17;0.956264;0.218650;0.119533;4.373496;8.000000;0.546687;1.000000;73496104.000000;73496104.000000
18;1.008300;0.231511;0.126038;4.355293;8.000000;0.544412;1.000000;73132016.000000;73131984.000000
19;1.060219;0.252588;0.132527;4.197418;8.000000;0.524677;1.000000;72769872.000000;72769880.000000
20;1.111764;0.271577;0.138970;4.093739;8.000000;0.511717;1.000000;72410848.000000;72410856.000000
21;1.164155;0.283208;0.145519;4.110595;8.000000;0.513824;1.000000;72052824.000000;72052824.000000
22;1.215333;0.293623;0.151917;4.139099;8.000000;0.517387;1.000000;71696832.000000;71696816.000000
23;1.266689;0.305096;0.158336;4.151767;8.000000;0.518971;1.000000;71343840.000000;71343848.000000
24;1.317272;0.317645;0.164659;4.146995;8.000000;0.518374;1.000000;70991832.000000;70991840.000000
25;1.367985;0.329629;0.170998;4.150074;8.000000;0.518759;1.000000;70641784.000000;70641808.000000
26;1.418732;0.340331;0.177342;4.168689;8.000000;0.521086;1.000000;70293816.000000;70293824.000000
27;1.470545;0.351404;0.183818;4.184764;8.000000;0.523096;1.000000;69947744.000000;69947776.000000
28;1.521055;0.363349;0.190132;4.186210;8.000000;0.523276;1.000000;69603704.000000;69603728.000000
29;1.571758;0.374793;0.196470;4.193666;8.000000;0.524208;1.000000;69261664.000000;69261680.000000
30;1.622233;0.385399;0.202779;4.209230;8.000000;0.526154;1.000000;68921536.000000;68921536.000000
31;1.672992;0.397046;0.209124;4.213601;8.000000;0.526700;1.000000;68583464.000000;68583472.000000
32;1.724058;0.409436;0.215507;4.210812;8.000000;0.526352;1.000000;68247224.000000;68247264.000000
33;1.777550;0.420651;0.222194;4.225715;8.000000;0.528214;1.000000;67912024.000000;67912064.000000
34;1.828820;0.431313;0.228603;4.240119;8.000000;0.530015;1.000000;67579752.000000;67579736.000000
35;1.879506;0.442581;0.234938;4.246693;8.000000;0.530837;1.000000;67248464.000000;67248448.000000
36;1.931165;0.454602;0.241396;4.248034;8.000000;0.531004;1.000000;66920004.000000;66919992.000000
37;1.983947;0.466320;0.247993;4.254474;8.000000;0.531809;1.000000;66592480.000000;66592472.000000
38;2.035771;0.478857;0.254471;4.251316;8.000000;0.531415;1.000000;66266984.000000;66266972.000000
39;2.086465;0.489342;0.260808;4.263821;8.000000;0.532978;1.000000;65943332.000000;65943328.000000
40;2.137139;0.502331;0.267142;4.254440;8.000000;0.531805;1.000000;65621032.000000;65621024.000000
41;2.187752;0.515088;0.273469;4.247339;8.000000;0.530917;1.000000;65300664.000000;65300664.000000
42;2.239234;0.527925;0.279904;4.241575;8.000000;0.530197;1.000000;64982812.000000;64982808.000000
43;2.290076;0.539969;0.286260;4.241124;8.000000;0.530141;1.000000;64665784.000000;64665768.000000
44;2.341004;0.550478;0.292626;4.252674;8.000000;0.531584;1.000000;64351120.000000;64351120.000000
45;2.392004;0.563715;0.299001;4.243290;8.000000;0.530411;1.000000;64037956.000000;64037944.000000
46;2.442847;0.575662;0.305356;4.243546;8.000000;0.530443;1.000000;63726540.000000;63726524.000000
47;2.493756;0.588001;0.311720;4.241074;8.000000;0.530134;1.000000;63416480.000000;63416468.000000
48;2.546535;0.598077;0.318317;4.257874;8.000000;0.532234;1.000000;63108936.000000;63108940.000000
49;2.598998;0.609099;0.324875;4.266952;8.000000;0.533369;1.000000;62802132.000000;62802152.000000
50;2.650427;0.621373;0.331303;4.265437;8.000000;0.533180;1.000000;62497788.000000;62497776.000000
51;2.701361;0.634541;0.337670;4.257190;8.000000;0.532149;1.000000;62194664.000000;62194672.000000
52;2.752069;0.646794;0.344009;4.254938;8.000000;0.531867;1.000000;61893484.000000;61893484.000000
53;2.805784;0.662063;0.350723;4.237940;8.000000;0.529743;1.000000;61593592.000000;61593576.000000
54;2.857089;0.675252;0.357136;4.231148;8.000000;0.528894;1.000000;61295588.000000;61295596.000000
55;2.908857;0.688118;0.363607;4.227265;8.000000;0.528408;1.000000;60999404.000000;60999420.000000
56;2.961342;0.698936;0.370168;4.236930;8.000000;0.529616;1.000000;60704536.000000;60704528.000000
57;3.013653;0.711477;0.376707;4.235769;8.000000;0.529471;1.000000;60411084.000000;60411080.000000
58;3.066061;0.724104;0.383258;4.234282;8.000000;0.529285;1.000000;60119844.000000;60119852.000000
59;3.118908;0.736195;0.389863;4.236526;8.000000;0.529566;1.000000;59829404.000000;59829408.000000
60;3.170326;0.746553;0.396291;4.246619;8.000000;0.530827;1.000000;59541320.000000;59541320.000000
61;3.222089;0.759477;0.402761;4.242510;8.000000;0.530314;1.000000;59254552.000000;59254560.000000
62;3.273101;0.772360;0.409138;4.237790;8.000000;0.529724;1.000000;58969140.000000;58969140.000000
63;3.324921;0.783872;0.415615;4.241664;8.000000;0.530208;1.000000;58685436.000000;58685432.000000
64;3.376583;0.796445;0.422073;4.239571;8.000000;0.529946;1.000000;58402960.000000;58402956.000000
65;3.428837;0.808462;0.428605;4.241188;8.000000;0.530148;1.000000;58122328.000000;58122332.000000
66;3.480625;0.820341;0.435078;4.242899;8.000000;0.530362;1.000000;57843584.000000;57843580.000000
67;3.531668;0.831977;0.441458;4.244909;8.000000;0.530614;1.000000;57565916.000000;57565944.000000
68;3.583218;0.842200;0.447902;4.254591;8.000000;0.531824;1.000000;57289676.000000;57289672.000000
69;3.633880;0.854351;0.454235;4.253380;8.000000;0.531672;1.000000;57015156.000000;57015164.000000
70;3.685059;0.867086;0.460632;4.249936;8.000000;0.531242;1.000000;56741932.000000;56741948.000000
71;3.735871;0.879528;0.466984;4.247583;8.000000;0.530948;1.000000;56470432.000000;56470432.000000
72;3.786656;0.892178;0.473332;4.244283;8.000000;0.530535;1.000000;56200316.000000;56200320.000000
73;3.837815;0.903510;0.479727;4.247671;8.000000;0.530959;1.000000;55931628.000000;55931628.000000
74;3.888472;0.915831;0.486059;4.245841;8.000000;0.530730;1.000000;55664576.000000;55664576.000000
75;3.938876;0.928354;0.492360;4.242861;8.000000;0.530358;1.000000;55398428.000000;55398436.000000
76;3.989339;0.939922;0.498667;4.244328;8.000000;0.530541;1.000000;55134208.000000;55134220.000000
77;4.042684;0.962142;0.505335;4.201754;8.000000;0.525219;1.000000;54871160.000000;54871152.000000
78;4.107558;0.978320;0.513445;4.198582;8.000000;0.524823;1.000000;54609800.000000;54609780.000000
79;4.183116;0.993920;0.522890;4.208703;8.000000;0.526088;1.000000;54349816.000000;54349824.000000
80;4.239955;1.019144;0.529994;4.160311;8.000000;0.520039;1.000000;54091072.000000;54091056.000000
81;4.298196;1.034965;0.537274;4.152986;8.000000;0.519123;1.000000;53833708.000000;53833720.000000
82;4.351767;1.057004;0.543971;4.117079;8.000000;0.514635;1.000000;53577828.000000;53577832.000000
83;4.405042;1.070040;0.550630;4.116710;8.000000;0.514589;1.000000;53323652.000000;53323640.000000
84;4.456901;1.089081;0.557113;4.092352;8.000000;0.511544;1.000000;53070636.000000;53070656.000000
85;4.507827;1.103239;0.563478;4.085994;8.000000;0.510749;1.000000;52818860.000000;52818872.000000
86;4.559888;1.115753;0.569986;4.086825;8.000000;0.510853;1.000000;52568032.000000;52568040.000000
87;4.612085;1.130505;0.576511;4.079669;8.000000;0.509959;1.000000;52319184.000000;52319188.000000
88;4.666879;1.143026;0.583360;4.082915;8.000000;0.510364;1.000000;52071556.000000;52071548.000000
89;4.718985;1.155966;0.589873;4.082286;8.000000;0.510286;1.000000;51824856.000000;51824876.000000
90;4.772696;1.167746;0.596587;4.087100;8.000000;0.510888;1.000000;51579908.000000;51579944.000000
91;4.826185;1.180015;0.603273;4.089936;8.000000;0.511242;1.000000;51336232.000000;51336248.000000
92;4.877476;1.191968;0.609685;4.091953;8.000000;0.511494;1.000000;51093792.000000;51093792.000000
93;4.929037;1.203554;0.616130;4.095403;8.000000;0.511925;1.000000;50852836.000000;50852824.000000
94;4.979970;1.214681;0.622496;4.099818;8.000000;0.512477;1.000000;50613116.000000;50613100.000000
95;5.081785;1.232013;0.635223;4.124783;8.000000;0.515598;1.000000;50374400.000000;50374388.000000
96;5.132095;1.254125;0.641512;4.092170;8.000000;0.511521;1.000000;50137180.000000;50137160.000000
97;5.186942;1.267198;0.648368;4.093238;8.000000;0.511655;1.000000;49901248.000000;49901216.000000
98;5.240503;1.280824;0.655063;4.091510;8.000000;0.511439;1.000000;49666280.000000;49666256.000000
99;5.293393;1.292765;0.661674;4.094629;8.000000;0.511829;1.000000;49432832.000000;49432824.000000
100;5.344785;1.304755;0.668098;4.096391;8.000000;0.512049;1.000000;49200940.000000;49200936.000000
101;5.396033;1.315736;0.674504;4.101153;8.000000;0.512644;1.000000;48969828.000000;48969828.000000
102;5.447571;1.326344;0.680946;4.107207;8.000000;0.513401;1.000000;48740224.000000;48740212.000000
103;5.498872;1.338484;0.687359;4.108283;8.000000;0.513535;1.000000;48511160.000000;48511164.000000
104;5.553311;1.350249;0.694164;4.112804;8.000000;0.514101;1.000000;48283888.000000;48283880.000000
105;5.606077;1.361955;0.700760;4.116198;8.000000;0.514525;1.000000;48058136.000000;48058140.000000
106;5.657609;1.374532;0.707201;4.116026;8.000000;0.514503;1.000000;47833192.000000;47833208.000000
107;5.711191;1.385693;0.713899;4.121540;8.000000;0.515193;1.000000;47609592.000000;47609600.000000
108;5.764427;1.396673;0.720553;4.127254;8.000000;0.515907;1.000000;47386708.000000;47386716.000000
109;5.825655;1.408325;0.728207;4.136585;8.000000;0.517073;1.000000;47165708.000000;47165712.000000
110;5.880547;1.431668;0.735068;4.107481;8.000000;0.513435;1.000000;46945492.000000;46945508.000000
111;5.933775;1.444026;0.741722;4.109189;8.000000;0.513649;1.000000;46726872.000000;46726880.000000
112;5.986622;1.455781;0.748328;4.112309;8.000000;0.514039;1.000000;46509052.000000;46509048.000000
113;6.039973;1.468351;0.754997;4.113440;8.000000;0.514180;1.000000;46292004.000000;46292024.000000
114;6.093370;1.480084;0.761671;4.116908;8.000000;0.514614;1.000000;46076848.000000;46076860.000000
115;6.157675;1.498067;0.769709;4.110413;8.000000;0.513802;1.000000;45862776.000000;45862780.000000
116;6.218649;1.513805;0.777331;4.107960;8.000000;0.513495;1.000000;45648984.000000;45648980.000000
