iteration;exec time (1 thread);exec time (4 threads);exec time (4 threads linear);speedup;speedup (linear);efficiency;efficiency (linear);difference (1 thread);difference(4 threads)
0;0.044996;0.020894;0.011249;2.153598;4.000000;0.538399;1.000000;80000512.000000;80000512.000000
1;0.092030;0.038913;0.023007;2.365034;4.000000;0.591259;1.000000;79599808.000000;79599808.000000
2;0.142171;0.057022;0.035543;2.493267;4.000000;0.623317;1.000000;79202288.000000;79202280.000000
3;0.190384;0.076508;0.047596;2.488424;4.000000;0.622106;1.000000;78806864.000000;78806872.000000
4;0.238671;0.095419;0.059668;2.501290;4.000000;0.625323;1.000000;78413592.000000;78413608.000000
5;0.290221;0.114315;0.072555;2.538785;4.000000;0.634696;1.000000;78022456.000000;78022448.000000
6;0.335997;0.133397;0.083999;2.518775;4.000000;0.629694;1.000000;77633408.000000;77633424.000000
7;0.382861;0.152818;0.095715;2.505337;4.000000;0.626334;1.000000;77246520.000000;77246520.000000
8;0.441764;0.171489;0.110441;2.576058;4.000000;0.644015;1.000000;76861696.000000;76861696.000000
9;0.488147;0.192982;0.122037;2.529494;4.000000;0.632373;1.000000;76480008.000000;76480016.000000
10;0.537216;0.211944;0.134304;2.534713;4.000000;0.633678;1.000000;76099416.000000;76099392.000000
11;0.592234;0.230596;0.148058;2.568273;4.000000;0.642068;1.000000;75720856.000000;75720840.000000
12;0.645594;0.249393;0.161399;2.588658;4.000000;0.647164;1.000000;75344384.000000;75344384.000000
13;0.694611;0.263054;0.173653;2.640562;4.000000;0.660141;1.000000;74971024.000000;74971024.000000
14;0.749971;0.282147;0.187493;2.658083;4.000000;0.664521;1.000000;74598704.000000;74598696.000000
15;0.802468;0.301172;0.200617;2.664480;4.000000;0.666120;1.000000;74229432.000000;74229448.000000
16;0.848038;0.319963;0.212009;2.650421;4.000000;0.662605;1.000000;73861256.000000;73861240.000000
17;0.904820;0.339135;0.226205;2.668026;4.000000;0.667006;1.000000;73496104.000000;73496104.000000
18;0.951547;0.358292;0.237887;2.655785;4.000000;0.663946;1.000000;73132016.000000;73131984.000000
19;1.001532;0.377478;0.250383;2.653217;4.000000;0.663304;1.000000;72769872.000000;72769880.000000
20;1.051930;0.396724;0.262982;2.651544;4.000000;0.662886;1.000000;72410848.000000;72410856.000000
21;1.102262;0.416050;0.275565;2.649349;4.000000;0.662337;1.000000;72052824.000000;72052824.000000
22;1.152506;0.435199;0.288127;2.648230;4.000000;0.662058;1.000000;71696832.000000;71696816.000000
23;1.207988;0.454141;0.301997;2.659939;4.000000;0.664985;1.000000;71343840.000000;71343848.000000
24;1.257869;0.473697;0.314467;2.655427;4.000000;0.663857;1.000000;70991832.000000;70991840.000000
25;1.307751;0.492949;0.326938;2.652912;4.000000;0.663228;1.000000;70641784.000000;70641808.000000
26;1.358343;0.511980;0.339586;2.653116;4.000000;0.663279;1.000000;70293816.000000;70293824.000000
27;1.409470;0.533414;0.352367;2.642356;4.000000;0.660589;1.000000;69947744.000000;69947776.000000
28;1.463753;0.553041;0.365938;2.646737;4.000000;0.661684;1.000000;69603704.000000;69603728.000000
29;1.513503;0.572466;0.378376;2.643830;4.000000;0.660958;1.000000;69261664.000000;69261680.000000
30;1.566222;0.591678;0.391555;2.647086;4.000000;0.661771;1.000000;68921536.000000;68921536.000000
31;1.613642;0.605201;0.403410;2.666293;4.000000;0.666573;1.000000;68583464.000000;68583472.000000
32;1.659531;0.620231;0.414883;2.675668;4.000000;0.668917;1.000000;68247224.000000;68247264.000000
33;1.725591;0.635336;0.431398;2.716028;4.000000;0.679007;1.000000;67912024.000000;67912064.000000
34;1.777911;0.651331;0.444478;2.729657;4.000000;0.682414;1.000000;67579752.000000;67579736.000000
35;1.838231;0.670907;0.459558;2.739920;4.000000;0.684980;1.000000;67248464.000000;67248448.000000
36;1.888800;0.691704;0.472200;2.730647;4.000000;0.682662;1.000000;66920004.000000;66919992.000000
37;1.939452;0.711657;0.484863;2.725264;4.000000;0.681316;1.000000;66592480.000000;66592472.000000
38;1.991706;0.731362;0.497927;2.723282;4.000000;0.680821;1.000000;66266984.000000;66266972.000000
39;2.042306;0.751271;0.510576;2.718467;4.000000;0.679617;1.000000;65943332.000000;65943328.000000
