iteration;exec time (1 thread);exec time (16 threads);exec time (16 threads linear);speedup;speedup (linear);efficiency;efficiency (linear);difference (1 thread);difference(16 threads)
53;2.454307;0.619650;0.153394;3.960799;16.000000;0.247550;1.000000;61593592.000000;61593576.000000
54;2.499025;0.629265;0.156189;3.971340;16.000000;0.248209;1.000000;61295588.000000;61295596.000000
55;2.542406;0.643653;0.158900;3.949965;16.000000;0.246873;1.000000;60999404.000000;60999420.000000
56;2.592401;0.654732;0.162025;3.959486;16.000000;0.247468;1.000000;60704536.000000;60704528.000000
57;2.637264;0.664655;0.164829;3.967870;16.000000;0.247992;1.000000;60411084.000000;60411080.000000
58;2.682353;0.675828;0.167647;3.968986;16.000000;0.248062;1.000000;60119844.000000;60119852.000000
59;2.726019;0.687642;0.170376;3.964298;16.000000;0.247769;1.000000;59829404.000000;59829408.000000
60;2.772671;0.699272;0.173292;3.965082;16.000000;0.247818;1.000000;59541320.000000;59541320.000000
61;2.813962;0.709935;0.175873;3.963690;16.000000;0.247731;1.000000;59254552.000000;59254560.000000
62;2.857667;0.719352;0.178604;3.972558;16.000000;0.248285;1.000000;58969140.000000;58969140.000000
63;2.901146;0.729519;0.181322;3.976795;16.000000;0.248550;1.000000;58685436.000000;58685432.000000
64;2.948578;0.743420;0.184286;3.966234;16.000000;0.247890;1.000000;58402960.000000;58402956.000000
65;2.997197;0.756393;0.187325;3.962487;16.000000;0.247655;1.000000;58122328.000000;58122332.000000
66;3.047558;0.770057;0.190472;3.957573;16.000000;0.247348;1.000000;57843584.000000;57843580.000000
67;3.100233;0.784688;0.193765;3.950913;16.000000;0.246932;1.000000;57565916.000000;57565944.000000
68;3.147795;0.799502;0.196737;3.937196;16.000000;0.246075;1.000000;57289676.000000;57289672.000000
69;3.193197;0.815080;0.199575;3.917648;16.000000;0.244853;1.000000;57015156.000000;57015164.000000
70;3.237806;0.824926;0.202363;3.924966;16.000000;0.245310;1.000000;56741932.000000;56741948.000000
71;3.281439;0.838396;0.205090;3.913949;16.000000;0.244622;1.000000;56470432.000000;56470432.000000
72;3.328854;0.849602;0.208053;3.918134;16.000000;0.244883;1.000000;56200316.000000;56200320.000000
73;3.375637;0.861388;0.210977;3.918834;16.000000;0.244927;1.000000;55931628.000000;55931628.000000
74;3.418140;0.873147;0.213634;3.914736;16.000000;0.244671;1.000000;55664576.000000;55664576.000000
75;3.460845;0.882762;0.216303;3.920475;16.000000;0.245030;1.000000;55398428.000000;55398436.000000
76;3.505645;0.893633;0.219103;3.922914;16.000000;0.245182;1.000000;55134208.000000;55134220.000000
77;3.547097;0.904848;0.221694;3.920102;16.000000;0.245006;1.000000;54871160.000000;54871152.000000
78;3.591768;0.916139;0.224485;3.920549;16.000000;0.245034;1.000000;54609800.000000;54609780.000000
79;3.636406;0.926428;0.227275;3.925192;16.000000;0.245324;1.000000;54349816.000000;54349824.000000
80;3.679231;0.939101;0.229952;3.917823;16.000000;0.244864;1.000000;54091072.000000;54091056.000000
81;3.720799;0.951313;0.232550;3.911223;16.000000;0.244451;1.000000;53833708.000000;53833720.000000
82;3.762266;0.961234;0.235142;3.913994;16.000000;0.244625;1.000000;53577828.000000;53577832.000000
83;3.804487;0.972750;0.237780;3.911063;16.000000;0.244441;1.000000;53323652.000000;53323640.000000
84;3.849019;0.982830;0.240564;3.916260;16.000000;0.244766;1.000000;53070636.000000;53070656.000000
85;3.893415;0.994724;0.243338;3.914065;16.000000;0.244629;1.000000;52818860.000000;52818872.000000
86;3.934386;1.005410;0.245899;3.913214;16.000000;0.244576;1.000000;52568032.000000;52568040.000000
87;3.979071;1.014748;0.248692;3.921238;16.000000;0.245077;1.000000;52319184.000000;52319188.000000
88;4.023039;1.026685;0.251440;3.918474;16.000000;0.244905;1.000000;52071556.000000;52071548.000000
89;4.067972;1.038355;0.254248;3.917709;16.000000;0.244857;1.000000;51824856.000000;51824876.000000
90;4.112609;1.049649;0.257038;3.918078;16.000000;0.244880;1.000000;51579908.000000;51579944.000000
91;4.157601;1.061495;0.259850;3.916740;16.000000;0.244796;1.000000;51336232.000000;51336248.000000
92;4.204086;1.072421;0.262755;3.920185;16.000000;0.245012;1.000000;51093792.000000;51093792.000000
93;4.244578;1.083751;0.265286;3.916561;16.000000;0.244785;1.000000;50852836.000000;50852824.000000
94;4.287283;1.095331;0.267955;3.914143;16.000000;0.244634;1.000000;50613116.000000;50613100.000000
95;4.331162;1.105995;0.270698;3.916077;16.000000;0.244755;1.000000;50374400.000000;50374388.000000
96;4.375772;1.115741;0.273486;3.921852;16.000000;0.245116;1.000000;50137180.000000;50137160.000000
97;4.419940;1.127337;0.276246;3.920691;16.000000;0.245043;1.000000;49901248.000000;49901216.000000
98;4.463643;1.140361;0.278978;3.914238;16.000000;0.244640;1.000000;49666280.000000;49666256.000000
99;4.508543;1.150894;0.281784;3.917428;16.000000;0.244839;1.000000;49432832.000000;49432824.000000
100;4.549125;1.162800;0.284320;3.912217;16.000000;0.244514;1.000000;49200940.000000;49200936.000000
101;4.593135;1.173608;0.287071;3.913689;16.000000;0.244606;1.000000;48969828.000000;48969828.000000
102;4.638276;1.184753;0.289892;3.914972;16.000000;0.244686;1.000000;48740224.000000;48740212.000000
103;4.683315;1.195740;0.292707;3.916667;16.000000;0.244792;1.000000;48511160.000000;48511164.000000
104;4.728536;1.207371;0.295534;3.916392;16.000000;0.244774;1.000000;48283888.000000;48283880.000000
105;4.773484;1.218420;0.298343;3.917767;16.000000;0.244860;1.000000;48058136.000000;48058140.000000
106;4.817369;1.230853;0.301086;3.913846;16.000000;0.244615;1.000000;47833192.000000;47833208.000000
107;4.864085;1.242115;0.304005;3.915969;16.000000;0.244748;1.000000;47609592.000000;47609600.000000
108;4.910980;1.252510;0.306936;3.920910;16.000000;0.245057;1.000000;47386708.000000;47386716.000000
109;4.957622;1.264215;0.309851;3.921503;16.000000;0.245094;1.000000;47165708.000000;47165712.000000
110;5.000175;1.275878;0.312511;3.919007;16.000000;0.244938;1.000000;46945492.000000;46945508.000000
111;5.040329;1.285339;0.315021;3.921402;16.000000;0.245088;1.000000;46726872.000000;46726880.000000
112;5.084120;1.298520;0.317758;3.915320;16.000000;0.244708;1.000000;46509052.000000;46509048.000000
113;5.131331;1.310158;0.320708;3.916575;16.000000;0.244786;1.000000;46292004.000000;46292024.000000
114;5.177490;1.322139;0.323593;3.915993;16.000000;0.244750;1.000000;46076848.000000;46076860.000000
115;5.218753;1.335295;0.326172;3.908313;16.000000;0.244270;1.000000;45862776.000000;45862780.000000
116;5.261942;1.345570;0.328871;3.910567;16.000000;0.244410;1.000000;45648984.000000;45648980.000000
117;5.305586;1.357322;0.331599;3.908863;16.000000;0.244304;1.000000;45437068.000000;45437068.000000
118;5.349966;1.368043;0.334373;3.910671;16.000000;0.244417;1.000000;45226236.000000;45226228.000000
119;5.393899;1.379240;0.337119;3.910775;16.000000;0.244423;1.000000;45016260.000000;45016244.000000
120;5.435185;1.389969;0.339699;3.910291;16.000000;0.244393;1.000000;44808100.000000;44808108.000000
121;5.479703;1.400644;0.342481;3.912273;16.000000;0.244517;1.000000;44600292.000000;44600292.000000
122;5.526528;1.411165;0.345408;3.916288;16.000000;0.244768;1.000000;44393620.000000;44393608.000000
123;5.568337;1.422652;0.348021;3.914055;16.000000;0.244628;1.000000;44188568.000000;44188576.000000
124;5.612854;1.432051;0.350803;3.919451;16.000000;0.244966;1.000000;43984076.000000;43984088.000000
125;5.658230;1.443397;0.353639;3.920079;16.000000;0.245005;1.000000;43780952.000000;43780976.000000
126;5.703535;1.454007;0.356471;3.922633;16.000000;0.245165;1.000000;43578500.000000;43578516.000000
127;5.750399;1.463824;0.359400;3.928339;16.000000;0.245521;1.000000;43377636.000000;43377656.000000
128;5.796848;1.474836;0.362303;3.930505;16.000000;0.245657;1.000000;43177640.000000;43177660.000000
129;5.843057;1.486165;0.365191;3.931635;16.000000;0.245727;1.000000;42978544.000000;42978560.000000
130;5.887652;1.499262;0.367978;3.927034;16.000000;0.245440;1.000000;42780560.000000;42780584.000000
131;5.945278;1.510377;0.371580;3.936288;16.000000;0.246018;1.000000;42584016.000000;42584028.000000
132;6.003682;1.524159;0.375230;3.939012;16.000000;0.246188;1.000000;42388320.000000;42388340.000000
133;6.057619;1.539298;0.378601;3.935314;16.000000;0.245957;1.000000;42193024.000000;42193024.000000
134;6.114045;1.558686;0.382128;3.922564;16.000000;0.245160;1.000000;41999336.000000;41999360.000000
135;6.165351;1.569625;0.385334;3.927913;16.000000;0.245495;1.000000;41806824.000000;41806828.000000
136;6.216959;1.581349;0.388560;3.931427;16.000000;0.245714;1.000000;41615224.000000;41615248.000000
137;6.268105;1.593918;0.391757;3.932514;16.000000;0.245782;1.000000;41424024.000000;41424020.000000
138;6.313610;1.606812;0.394601;3.929278;16.000000;0.245580;1.000000;41234440.000000;41234480.000000
139;6.357730;1.618077;0.397358;3.929189;16.000000;0.245574;1.000000;41045840.000000;41045860.000000
140;6.402789;1.629414;0.400174;3.929504;16.000000;0.245594;1.000000;40857812.000000;40857848.000000
141;6.449105;1.642435;0.403069;3.926551;16.000000;0.245409;1.000000;40671284.000000;40671296.000000
142;6.504340;1.653363;0.406521;3.934006;16.000000;0.245875;1.000000;40485680.000000;40485676.000000
143;6.548699;1.665928;0.409294;3.930962;16.000000;0.245685;1.000000;40300444.000000;40300456.000000
144;6.596459;1.677293;0.412279;3.932800;16.000000;0.245800;1.000000;40116904.000000;40116896.000000
145;6.644462;1.690264;0.415279;3.931021;16.000000;0.245689;1.000000;39933808.000000;39933796.000000
146;6.692168;1.701854;0.418261;3.932281;16.000000;0.245768;1.000000;39751868.000000;39751872.000000
147;6.740005;1.713375;0.421250;3.933760;16.000000;0.245860;1.000000;39571096.000000;39571096.000000
148;6.787436;1.725609;0.424215;3.933357;16.000000;0.245835;1.000000;39391052.000000;39391048.000000
149;6.838098;1.738965;0.427381;3.932279;16.000000;0.245767;1.000000;39211924.000000;39211936.000000
150;6.893616;1.752741;0.430851;3.933049;16.000000;0.245816;1.000000;39033764.000000;39033764.000000
