iteration;exec time (1 thread);exec time (2 threads);exec time (2 threads linear);speedup;speedup (linear);efficiency;efficiency (linear);difference (1 thread);difference(2 threads)
0;0.055075;0.006187;0.027537;8.902400;2.000000;4.451200;1.000000;80000512.000000;80000512.000000
1;0.106291;0.010476;0.053146;10.145735;2.000000;5.072868;1.000000;79599808.000000;79599808.000000
2;0.157752;0.014795;0.078876;10.662709;2.000000;5.331354;1.000000;79202288.000000;79202296.000000
3;0.209270;0.019294;0.104635;10.846321;2.000000;5.423161;1.000000;78806864.000000;78806864.000000
4;0.260459;0.023686;0.130230;10.996340;2.000000;5.498170;1.000000;78413592.000000;78413600.000000
5;0.311850;0.028036;0.155925;11.123380;2.000000;5.561690;1.000000;78022456.000000;78022464.000000
6;0.363298;0.032477;0.181649;11.186448;2.000000;5.593224;1.000000;77633408.000000;77633424.000000
7;0.414696;0.036840;0.207348;11.256819;2.000000;5.628409;1.000000;77246520.000000;77246520.000000
8;0.466018;0.043383;0.233009;10.741896;2.000000;5.370948;1.000000;76861696.000000;76861704.000000
9;0.512150;0.047743;0.256075;10.727284;2.000000;5.363642;1.000000;76480008.000000;76480016.000000
10;0.549495;0.052038;0.274747;10.559478;2.000000;5.279739;1.000000;76099416.000000;76099384.000000
11;0.586003;0.057260;0.293002;10.234151;2.000000;5.117076;1.000000;75720856.000000;75720832.000000
12;0.624571;0.062503;0.312285;9.992643;2.000000;4.996321;1.000000;75344384.000000;75344376.000000
13;0.676176;0.068199;0.338088;9.914746;2.000000;4.957373;1.000000;74971024.000000;74971032.000000
14;0.726392;0.072539;0.363196;10.013794;2.000000;5.006897;1.000000;74598704.000000;74598688.000000
15;0.774677;0.076914;0.387338;10.071958;2.000000;5.035979;1.000000;74229432.000000;74229440.000000
16;0.811636;0.081248;0.405818;9.989604;2.000000;4.994802;1.000000;73861256.000000;73861232.000000
17;0.848981;0.085634;0.424490;9.914093;2.000000;4.957046;1.000000;73496104.000000;73496096.000000
18;0.886568;0.089952;0.443284;9.856028;2.000000;4.928014;1.000000;73132016.000000;73131992.000000
19;0.923929;0.094338;0.461965;9.793791;2.000000;4.896896;1.000000;72769872.000000;72769872.000000
20;0.961613;0.098740;0.480807;9.738804;2.000000;4.869402;1.000000;72410848.000000;72410856.000000
21;0.999469;0.103353;0.499734;9.670415;2.000000;4.835208;1.000000;72052824.000000;72052816.000000
22;1.037788;0.107668;0.518894;9.638740;2.000000;4.819370;1.000000;71696832.000000;71696808.000000
23;1.075598;0.112068;0.537799;9.597708;2.000000;4.798854;1.000000;71343840.000000;71343840.000000
24;1.113488;0.116436;0.556744;9.563128;2.000000;4.781564;1.000000;70991832.000000;70991840.000000
25;1.151665;0.120864;0.575833;9.528633;2.000000;4.764317;1.000000;70641784.000000;70641808.000000
26;1.189273;0.125297;0.594637;9.491658;2.000000;4.745829;1.000000;70293816.000000;70293816.000000
27;1.226581;0.129707;0.613290;9.456565;2.000000;4.728283;1.000000;69947744.000000;69947760.000000
28;1.264622;0.135226;0.632311;9.351891;2.000000;4.675945;1.000000;69603704.000000;69603712.000000
29;1.304379;0.139618;0.652190;9.342515;2.000000;4.671258;1.000000;69261664.000000;69261688.000000
30;1.344089;0.144101;0.672045;9.327424;2.000000;4.663712;1.000000;68921536.000000;68921536.000000
