iteration;exec time (1 thread);exec time (2 threads);exec time (2 threads linear);speedup;speedup (linear);efficiency;efficiency (linear);difference (1 thread);difference(2 threads)
53;51.550680;6.179508;25.775340;8.342198;2.000000;4.171099;1.000000;61593592.000000;61593584.000000
54;52.495164;6.289047;26.247582;8.347078;2.000000;4.173539;1.000000;61295588.000000;61295592.000000
55;53.468154;6.401514;26.734077;8.352424;2.000000;4.176212;1.000000;60999404.000000;60999404.000000
56;54.418418;6.511673;27.209209;8.357056;2.000000;4.178528;1.000000;60704536.000000;60704536.000000
57;55.353686;6.645918;27.676843;8.328975;2.000000;4.164487;1.000000;60411084.000000;60411080.000000
58;56.290016;6.779683;28.145008;8.302751;2.000000;4.151375;1.000000;60119844.000000;60119848.000000
59;57.229840;6.889904;28.614920;8.306333;2.000000;4.153167;1.000000;59829404.000000;59829404.000000
60;58.135931;6.999110;29.067965;8.306189;2.000000;4.153095;1.000000;59541320.000000;59541328.000000
61;59.067827;7.133329;29.533914;8.280542;2.000000;4.140271;1.000000;59254552.000000;59254560.000000
62;60.005034;7.267496;30.002517;8.256632;2.000000;4.128316;1.000000;58969140.000000;58969140.000000
63;61.028218;7.377335;30.514109;8.272394;2.000000;4.136197;1.000000;58685436.000000;58685440.000000
64;61.987778;7.488279;30.993889;8.277974;2.000000;4.138987;1.000000;58402960.000000;58402960.000000
65;62.908203;7.595878;31.454102;8.281887;2.000000;4.140943;1.000000;58122328.000000;58122332.000000
66;63.817675;7.705506;31.908838;8.282087;2.000000;4.141044;1.000000;57843584.000000;57843588.000000
67;64.799642;7.812307;32.399821;8.294559;2.000000;4.147279;1.000000;57565916.000000;57565936.000000
68;66.110954;7.918344;33.055477;8.349088;2.000000;4.174544;1.000000;57289676.000000;57289676.000000
69;67.131029;8.050295;33.565514;8.338953;2.000000;4.169476;1.000000;57015156.000000;57015160.000000
70;68.095840;8.129971;34.047920;8.375902;2.000000;4.187951;1.000000;56741932.000000;56741940.000000
71;69.070740;8.221006;34.535370;8.401738;2.000000;4.200869;1.000000;56470432.000000;56470432.000000
72;70.004067;8.327566;35.002034;8.406306;2.000000;4.203153;1.000000;56200316.000000;56200316.000000
73;70.974788;8.436429;35.487394;8.412895;2.000000;4.206447;1.000000;55931628.000000;55931628.000000
74;71.926459;8.544062;35.963229;8.418297;2.000000;4.209149;1.000000;55664576.000000;55664576.000000
75;72.853913;8.653938;36.426956;8.418585;2.000000;4.209293;1.000000;55398428.000000;55398432.000000
76;73.771122;8.763397;36.885561;8.418097;2.000000;4.209048;1.000000;55134208.000000;55134216.000000
77;74.698102;8.872893;37.349051;8.418687;2.000000;4.209343;1.000000;54871160.000000;54871152.000000
78;75.639978;8.982869;37.819989;8.420470;2.000000;4.210235;1.000000;54609800.000000;54609784.000000
79;76.586755;9.094554;38.293378;8.421167;2.000000;4.210583;1.000000;54349816.000000;54349816.000000
80;77.506213;9.203374;38.753106;8.421500;2.000000;4.210750;1.000000;54091072.000000;54091056.000000
81;78.454836;9.335487;39.227418;8.403936;2.000000;4.201968;1.000000;53833708.000000;53833716.000000
82;79.428987;9.444693;39.714493;8.409907;2.000000;4.204953;1.000000;53577828.000000;53577828.000000
83;80.379148;9.555355;40.189574;8.411948;2.000000;4.205974;1.000000;53323652.000000;53323640.000000
84;81.464014;9.665106;40.732007;8.428672;2.000000;4.214336;1.000000;53070636.000000;53070652.000000
85;82.382104;9.771800;41.191052;8.430597;2.000000;4.215298;1.000000;52818860.000000;52818868.000000
86;83.286357;9.879634;41.643178;8.430105;2.000000;4.215053;1.000000;52568032.000000;52568040.000000
87;84.207227;10.012047;42.103614;8.410591;2.000000;4.205295;1.000000;52319184.000000;52319192.000000
88;85.163009;10.121432;42.581504;8.414127;2.000000;4.207063;1.000000;52071556.000000;52071552.000000
89;86.108195;10.253813;43.054098;8.397675;2.000000;4.198838;1.000000;51824856.000000;51824868.000000
90;87.067097;10.385912;43.533549;8.383193;2.000000;4.191596;1.000000;51579908.000000;51579932.000000
91;88.013819;10.506748;44.006910;8.376885;2.000000;4.188442;1.000000;51336232.000000;51336244.000000
92;88.936687;10.616993;44.468343;8.376824;2.000000;4.188412;1.000000;51093792.000000;51093792.000000
93;89.841390;10.726688;44.920695;8.375501;2.000000;4.187751;1.000000;50852836.000000;50852828.000000
94;90.802640;10.838077;45.401320;8.378113;2.000000;4.189057;1.000000;50613116.000000;50613108.000000
95;91.725706;10.971027;45.862853;8.360722;2.000000;4.180361;1.000000;50374400.000000;50374392.000000
96;92.650695;11.103225;46.325347;8.344485;2.000000;4.172243;1.000000;50137180.000000;50137164.000000
97;93.580109;11.235697;46.790054;8.328821;2.000000;4.164410;1.000000;49901248.000000;49901224.000000
98;94.505104;11.345172;47.252552;8.329984;2.000000;4.164992;1.000000;49666280.000000;49666264.000000
99;95.360895;11.454207;47.680447;8.325404;2.000000;4.162702;1.000000;49432832.000000;49432824.000000
