iteration;exec time (1 thread);exec time (2 threads);exec time (2 threads linear);speedup;speedup (linear);efficiency;efficiency (linear);difference (1 thread);difference(2 threads)
0;0.040896;0.006314;0.020448;6.476711;2.000000;3.238355;1.000000;80000512.000000;80000512.000000
1;0.078675;0.010553;0.039337;7.455546;2.000000;3.727773;1.000000;79599808.000000;79599808.000000
2;0.115897;0.013870;0.057949;8.356147;2.000000;4.178073;1.000000;79202288.000000;79202296.000000
3;0.153158;0.017136;0.076579;8.937617;2.000000;4.468808;1.000000;78806864.000000;78806864.000000
4;0.191181;0.020181;0.095591;9.473252;2.000000;4.736626;1.000000;78413592.000000;78413600.000000
5;0.229030;0.023929;0.114515;9.571309;2.000000;4.785654;1.000000;78022456.000000;78022464.000000
6;0.266936;0.027248;0.133468;9.796523;2.000000;4.898261;1.000000;77633408.000000;77633424.000000
7;0.304835;0.030623;0.152417;9.954494;2.000000;4.977247;1.000000;77246520.000000;77246520.000000
8;0.343597;0.034785;0.171798;9.877710;2.000000;4.938855;1.000000;76861696.000000;76861704.000000
9;0.382729;0.038576;0.191364;9.921377;2.000000;4.960689;1.000000;76480008.000000;76480016.000000
10;0.420200;0.041552;0.210100;10.112631;2.000000;5.056316;1.000000;76099416.000000;76099384.000000
11;0.457885;0.045323;0.228942;10.102758;2.000000;5.051379;1.000000;75720856.000000;75720832.000000
12;0.495771;0.048726;0.247886;10.174634;2.000000;5.087317;1.000000;75344384.000000;75344376.000000
13;0.534063;0.052661;0.267031;10.141466;2.000000;5.070733;1.000000;74971024.000000;74971032.000000
14;0.569989;0.057914;0.284995;9.841968;2.000000;4.920984;1.000000;74598704.000000;74598688.000000
15;0.608705;0.063213;0.304352;9.629364;2.000000;4.814682;1.000000;74229432.000000;74229440.000000
16;0.647008;0.067695;0.323504;9.557731;2.000000;4.778866;1.000000;73861256.000000;73861232.000000
17;0.699229;0.072174;0.349614;9.688093;2.000000;4.844047;1.000000;73496104.000000;73496096.000000
18;0.741315;0.076573;0.370658;9.681193;2.000000;4.840596;1.000000;73132016.000000;73131992.000000
19;0.778495;0.080928;0.389248;9.619569;2.000000;4.809784;1.000000;72769872.000000;72769872.000000
20;0.817087;0.085467;0.408544;9.560243;2.000000;4.780122;1.000000;72410848.000000;72410856.000000
21;0.854916;0.089938;0.427458;9.505644;2.000000;4.752822;1.000000;72052824.000000;72052816.000000
22;0.893503;0.094363;0.446751;9.468749;2.000000;4.734375;1.000000;71696832.000000;71696808.000000
23;0.931070;0.098991;0.465535;9.405613;2.000000;4.702807;1.000000;71343840.000000;71343840.000000
24;0.973628;0.104200;0.486814;9.343865;2.000000;4.671933;1.000000;70991832.000000;70991840.000000
25;1.011445;0.108647;0.505723;9.309446;2.000000;4.654723;1.000000;70641784.000000;70641808.000000
26;1.049165;0.113089;0.524582;9.277304;2.000000;4.638652;1.000000;70293816.000000;70293816.000000
27;1.086683;0.117437;0.543341;9.253353;2.000000;4.626677;1.000000;69947744.000000;69947760.000000
28;1.124339;0.121765;0.562169;9.233646;2.000000;4.616823;1.000000;69603704.000000;69603712.000000
29;1.161658;0.126223;0.580829;9.203215;2.000000;4.601608;1.000000;69261664.000000;69261688.000000
30;1.198887;0.130573;0.599443;9.181733;2.000000;4.590867;1.000000;68921536.000000;68921536.000000
31;1.236367;0.134919;0.618184;9.163795;2.000000;4.581898;1.000000;68583464.000000;68583480.000000
32;1.273896;0.139334;0.636948;9.142740;2.000000;4.571370;1.000000;68247224.000000;68247256.000000
33;1.311676;0.143783;0.655838;9.122593;2.000000;4.561296;1.000000;67912024.000000;67912064.000000
34;1.349338;0.148302;0.674669;9.098609;2.000000;4.549304;1.000000;67579752.000000;67579752.000000
35;1.387131;0.152646;0.693566;9.087270;2.000000;4.543635;1.000000;67248464.000000;67248464.000000
36;1.422412;0.157944;0.711206;9.005816;2.000000;4.502908;1.000000;66920004.000000;66920004.000000
37;1.457809;0.163238;0.728905;8.930594;2.000000;4.465297;1.000000;66592480.000000;66592472.000000
38;1.492899;0.168509;0.746449;8.859470;2.000000;4.429735;1.000000;66266984.000000;66266984.000000
39;1.531378;0.173895;0.765689;8.806340;2.000000;4.403170;1.000000;65943332.000000;65943332.000000
40;1.569252;0.178244;0.784626;8.803953;2.000000;4.401976;1.000000;65621032.000000;65621028.000000
41;1.607698;0.182679;0.803849;8.800690;2.000000;4.400345;1.000000;65300664.000000;65300656.000000
42;1.645226;0.187106;0.822613;8.792997;2.000000;4.396499;1.000000;64982812.000000;64982812.000000
43;1.683442;0.191567;0.841721;8.787736;2.000000;4.393868;1.000000;64665784.000000;64665784.000000
44;1.720896;0.195914;0.860448;8.783952;2.000000;4.391976;1.000000;64351120.000000;64351120.000000
45;1.758679;0.200267;0.879340;8.781690;2.000000;4.390845;1.000000;64037956.000000;64037960.000000
46;1.796441;0.204602;0.898220;8.780164;2.000000;4.390082;1.000000;63726540.000000;63726544.000000
47;1.834207;0.208943;0.917103;8.778514;2.000000;4.389257;1.000000;63416480.000000;63416476.000000
48;1.874018;0.213386;0.937009;8.782309;2.000000;4.391154;1.000000;63108936.000000;63108936.000000
49;1.911671;0.217715;0.955836;8.780606;2.000000;4.390303;1.000000;62802132.000000;62802136.000000
50;1.949052;0.222050;0.974526;8.777535;2.000000;4.388767;1.000000;62497788.000000;62497792.000000
51;1.986983;0.226389;0.993492;8.776868;2.000000;4.388434;1.000000;62194664.000000;62194664.000000
52;2.024824;0.230737;1.012412;8.775473;2.000000;4.387736;1.000000;61893484.000000;61893488.000000
53;2.062578;0.235188;1.031289;8.769913;2.000000;4.384957;1.000000;61593592.000000;61593592.000000
54;2.100562;0.239560;1.050281;8.768413;2.000000;4.384206;1.000000;61295588.000000;61295588.000000
55;2.138286;0.243917;1.069143;8.766442;2.000000;4.383221;1.000000;60999404.000000;60999404.000000
56;2.176465;0.249222;1.088232;8.733033;2.000000;4.366516;1.000000;60704536.000000;60704536.000000
57;2.213894;0.254058;1.106947;8.714110;2.000000;4.357055;1.000000;60411084.000000;60411084.000000
58;2.251302;0.259337;1.125651;8.680980;2.000000;4.340490;1.000000;60119844.000000;60119840.000000
59;2.286605;0.263744;1.143302;8.669793;2.000000;4.334897;1.000000;59829404.000000;59829408.000000
60;2.324115;0.268118;1.162058;8.668268;2.000000;4.334134;1.000000;59541320.000000;59541320.000000
61;2.361350;0.272471;1.180675;8.666426;2.000000;4.333213;1.000000;59254552.000000;59254552.000000
62;2.396492;0.277725;1.198246;8.629016;2.000000;4.314508;1.000000;58969140.000000;58969140.000000
63;2.431830;0.282990;1.215915;8.593354;2.000000;4.296677;1.000000;58685436.000000;58685428.000000
64;2.469347;0.288266;1.234673;8.566195;2.000000;4.283097;1.000000;58402960.000000;58402960.000000
65;2.510450;0.293563;1.255225;8.551663;2.000000;4.275831;1.000000;58122328.000000;58122332.000000
66;2.550914;0.297961;1.275457;8.561249;2.000000;4.280625;1.000000;57843584.000000;57843580.000000
