iteration;exec time (1 thread);exec time (2 threads);exec time (2 threads linear);speedup;speedup (linear);efficiency;efficiency (linear);difference (1 thread);difference(2 threads)
0;0.055159;0.017023;0.027579;3.240348;2.000000;1.620174;1.000000;80000512.000000;80000512.000000
1;0.106519;0.021383;0.053260;4.981597;2.000000;2.490798;1.000000;79599808.000000;79599808.000000
2;0.159148;0.026729;0.079574;5.954193;2.000000;2.977096;1.000000;79202288.000000;79202296.000000
3;0.210921;0.032673;0.105461;6.455446;2.000000;3.227723;1.000000;78806864.000000;78806864.000000
4;0.248268;0.036303;0.124134;6.838805;2.000000;3.419403;1.000000;78413592.000000;78413600.000000
5;0.299571;0.039590;0.149785;7.566866;2.000000;3.783433;1.000000;78022456.000000;78022464.000000
6;0.351256;0.043947;0.175628;7.992721;2.000000;3.996360;1.000000;77633408.000000;77633424.000000
7;0.403405;0.050809;0.201703;7.939708;2.000000;3.969854;1.000000;77246520.000000;77246520.000000
8;0.455606;0.055993;0.227803;8.136905;2.000000;4.068452;1.000000;76861696.000000;76861704.000000
9;0.507545;0.060353;0.253773;8.409615;2.000000;4.204808;1.000000;76480008.000000;76480016.000000
10;0.559309;0.064672;0.279654;8.648336;2.000000;4.324168;1.000000;76099416.000000;76099384.000000
11;0.609803;0.068995;0.304901;8.838415;2.000000;4.419207;1.000000;75720856.000000;75720832.000000
12;0.661182;0.073482;0.330591;8.997855;2.000000;4.498927;1.000000;75344384.000000;75344376.000000
13;0.713066;0.077913;0.356533;9.152088;2.000000;4.576044;1.000000;74971024.000000;74971032.000000
14;0.764843;0.082379;0.382422;9.284407;2.000000;4.642203;1.000000;74598704.000000;74598688.000000
15;0.816970;0.086804;0.408485;9.411611;2.000000;4.705806;1.000000;74229432.000000;74229440.000000
16;0.868693;0.091174;0.434347;9.527903;2.000000;4.763952;1.000000;73861256.000000;73861232.000000
17;0.920334;0.095548;0.460167;9.632159;2.000000;4.816079;1.000000;73496104.000000;73496096.000000
18;0.959349;0.099911;0.479674;9.602068;2.000000;4.801034;1.000000;73132016.000000;73131992.000000
19;0.996167;0.104255;0.498084;9.555063;2.000000;4.777532;1.000000;72769872.000000;72769872.000000
20;1.032988;0.108601;0.516494;9.511797;2.000000;4.755899;1.000000;72410848.000000;72410856.000000
21;1.069853;0.112954;0.534927;9.471579;2.000000;4.735789;1.000000;72052824.000000;72052816.000000
22;1.106692;0.117716;0.553346;9.401390;2.000000;4.700695;1.000000;71696832.000000;71696808.000000
23;1.143574;0.122055;0.571787;9.369345;2.000000;4.684672;1.000000;71343840.000000;71343840.000000
24;1.180397;0.126411;0.590198;9.337756;2.000000;4.668878;1.000000;70991832.000000;70991840.000000
25;1.217471;0.130774;0.608735;9.309757;2.000000;4.654879;1.000000;70641784.000000;70641808.000000
26;1.254422;0.135146;0.627211;9.281949;2.000000;4.640974;1.000000;70293816.000000;70293816.000000
27;1.291559;0.139535;0.645779;9.256133;2.000000;4.628066;1.000000;69947744.000000;69947760.000000
28;1.328635;0.146885;0.664318;9.045389;2.000000;4.522695;1.000000;69603704.000000;69603712.000000
29;1.365661;0.151267;0.682830;9.028154;2.000000;4.514077;1.000000;69261664.000000;69261688.000000
30;1.402620;0.155649;0.701310;9.011437;2.000000;4.505718;1.000000;68921536.000000;68921536.000000
31;1.439670;0.160013;0.719835;8.997203;2.000000;4.498602;1.000000;68583464.000000;68583480.000000
32;1.476640;0.164379;0.738320;8.983144;2.000000;4.491572;1.000000;68247224.000000;68247256.000000
33;1.514082;0.168746;0.757041;8.972571;2.000000;4.486285;1.000000;67912024.000000;67912064.000000
34;1.551396;0.173338;0.775698;8.950139;2.000000;4.475069;1.000000;67579752.000000;67579752.000000
35;1.588297;0.177848;0.794148;8.930662;2.000000;4.465331;1.000000;67248464.000000;67248464.000000
36;1.625226;0.182190;0.812613;8.920505;2.000000;4.460253;1.000000;66920004.000000;66920004.000000
37;1.662757;0.187431;0.831378;8.871323;2.000000;4.435662;1.000000;66592480.000000;66592472.000000
38;1.697414;0.192692;0.848707;8.808941;2.000000;4.404470;1.000000;66266984.000000;66266984.000000
39;1.732113;0.197945;0.866056;8.750486;2.000000;4.375243;1.000000;65943332.000000;65943332.000000
40;1.767091;0.203557;0.883545;8.681070;2.000000;4.340535;1.000000;65621032.000000;65621028.000000
41;1.801951;0.208812;0.900975;8.629551;2.000000;4.314775;1.000000;65300664.000000;65300656.000000
42;1.836927;0.214069;0.918463;8.580988;2.000000;4.290494;1.000000;64982812.000000;64982812.000000
43;1.871588;0.219329;0.935794;8.533241;2.000000;4.266621;1.000000;64665784.000000;64665784.000000
44;1.906207;0.224579;0.953103;8.487921;2.000000;4.243961;1.000000;64351120.000000;64351120.000000
45;1.940909;0.229813;0.970454;8.445601;2.000000;4.222801;1.000000;64037956.000000;64037960.000000
46;1.976561;0.235069;0.988280;8.408440;2.000000;4.204220;1.000000;63726540.000000;63726544.000000
47;2.013959;0.240320;1.006979;8.380329;2.000000;4.190165;1.000000;63416480.000000;63416476.000000
48;2.051492;0.245575;1.025746;8.353828;2.000000;4.176914;1.000000;63108936.000000;63108936.000000
49;2.086264;0.250845;1.043132;8.316942;2.000000;4.158471;1.000000;62802132.000000;62802136.000000
50;2.121095;0.256127;1.060547;8.281428;2.000000;4.140714;1.000000;62497788.000000;62497792.000000
51;2.155935;0.261391;1.077967;8.247921;2.000000;4.123961;1.000000;62194664.000000;62194664.000000
52;2.198438;0.266973;1.099219;8.234673;2.000000;4.117336;1.000000;61893484.000000;61893488.000000
53;2.235421;0.271291;1.117711;8.239928;2.000000;4.119964;1.000000;61593592.000000;61593592.000000
54;2.272360;0.275861;1.136180;8.237327;2.000000;4.118664;1.000000;61295588.000000;61295588.000000
55;2.309371;0.280436;1.154685;8.234943;2.000000;4.117471;1.000000;60999404.000000;60999404.000000
56;2.345775;0.284906;1.172888;8.233511;2.000000;4.116756;1.000000;60704536.000000;60704536.000000
57;2.382947;0.289687;1.191473;8.225944;2.000000;4.112972;1.000000;60411084.000000;60411084.000000
58;2.419461;0.294088;1.209731;8.226990;2.000000;4.113495;1.000000;60119844.000000;60119840.000000
59;2.456570;0.298801;1.228285;8.221434;2.000000;4.110717;1.000000;59829404.000000;59829408.000000
60;2.493485;0.303123;1.246743;8.225975;2.000000;4.112988;1.000000;59541320.000000;59541320.000000
